iter	RMSE
0	2.448959793
1	2.30759349
2	2.181463479
3	2.068279642
4	1.968170216
5	1.876011131
6	1.79499006
7	1.722554912
8	1.658121054
9	1.602397542
10	1.55255886
11	1.50787412
12	1.470014336
13	1.435910469
14	1.405541168
15	1.37910641
16	1.356022473
17	1.336965234
18	1.319512792
19	1.304085173
20	1.290889409
21	1.27992568
22	1.269329576
23	1.261141461
24	1.253270543
25	1.246058938
26	1.239745565
27	1.233684423
28	1.228776463
29	1.224245088
30	1.220836837
31	1.216479958
32	1.212773809
33	1.209767189
34	1.206920223
35	1.204372985
36	1.202282743
37	1.200295241
38	1.199111962
39	1.197423111
40	1.1955682
41	1.194103869
42	1.192670448
43	1.191189468
44	1.190361005
45	1.189677847
46	1.189031816
47	1.188422352
48	1.186883574
49	1.186113976
50	1.18563964
51	1.184754434
52	1.184146342
53	1.183683308
54	1.183281091
55	1.18236301
56	1.181022107
57	1.180188134
58	1.178866022
59	1.178323869
60	1.17789322
61	1.177541675
62	1.176485953
63	1.176183505
64	1.175896473
65	1.174939115
66	1.174247437
67	1.173900905
68	1.173372615
69	1.172481596
70	1.172030879
71	1.171725526
72	1.171214076
73	1.171016767
74	1.170243645
75	1.170062162
76	1.169865577
77	1.169316651
78	1.168713398
79	1.168499246
80	1.168132336
81	1.167656457
82	1.167462831
83	1.166920104
84	1.165937682
85	1.16530281
86	1.16505982
87	1.164568767
88	1.164339024
89	1.163543639
90	1.163410606
91	1.163086924
92	1.162669309
93	1.162495036
94	1.16225811
95	1.161692259
96	1.161506446
97	1.161280226
98	1.160739526
99	1.16047453
100	1.159956667
101	1.15968382
102	1.159179693
103	1.15871781
104	1.158412287
105	1.157761117
106	1.157552575
107	1.157375206
108	1.157104096
109	1.156937173
110	1.156741655
111	1.156204232
112	1.156030065
113	1.155871232
114	1.155635863
115	1.155450151
116	1.155347727
117	1.15518941
118	1.154386262
119	1.154134264
120	1.153829701
121	1.153589388
122	1.153052807
123	1.152483561
124	1.152189216
125	1.151943664
126	1.151639924
127	1.151416053
128	1.150977332
129	1.150783559
130	1.150672036
131	1.150510967
132	1.150363337
133	1.14999324
134	1.149848729
135	1.149405865
136	1.149143047
137	1.149008785
138	1.148792013
139	1.148478329
140	1.148163174
141	1.147985576
142	1.14789918
143	1.147749799
144	1.147629701
145	1.147334127
146	1.14712169
147	1.146990021
148	1.146914769
149	1.146778247
150	1.146645439
151	1.146529063
152	1.146209964
153	1.14596763
154	1.145683232
155	1.145384236
156	1.145130544
157	1.144943421
158	1.144848277
159	1.144452915
160	1.144151498
161	1.143901359
162	1.143539892
163	1.14315176
164	1.142836838
165	1.142582498
166	1.14236611
167	1.142257263
168	1.141881109
169	1.141709183
170	1.141622732
171	1.141465845
172	1.14130302
173	1.14118268
174	1.140883692
175	1.140702214
176	1.140519871
177	1.140125298
178	1.13996362
179	1.139689989
180	1.139557651
181	1.139435611
182	1.139180752
183	1.139080909
184	1.138931978
185	1.138610148
186	1.13848004
187	1.138353268
188	1.138280825
189	1.138082005
190	1.137986792
191	1.137880626
192	1.13778299
193	1.137503473
194	1.137328694
195	1.137048446
196	1.136923452
197	1.136838039
198	1.136727071
199	1.136662121
200	1.136472515
201	1.136365394
202	1.13614943
203	1.136071209
204	1.135975397
205	1.135820733
206	1.135732803
207	1.135545635
208	1.135330565
209	1.135248264
210	1.13515936
211	1.13506545
212	1.13500575
213	1.134915675
214	1.134716795
215	1.134625752
216	1.134442612
217	1.134342442
218	1.134223879
219	1.134036946
220	1.133952035
221	1.133865997
222	1.13370939
223	1.133378352
224	1.133097114
225	1.132943067
226	1.132801966
227	1.132661041
228	1.132518206
229	1.132456523
230	1.132375121
231	1.132101237
232	1.131966566
233	1.131767274
234	1.131579426
235	1.131533082
236	1.131403092
237	1.131348241
238	1.131210268
239	1.131094263
240	1.131038989
241	1.130955985
242	1.13071529
243	1.130618603
244	1.130485874
245	1.130404055
246	1.130287764
247	1.130135484
248	1.130045189
249	1.129966725
250	1.129888454
251	1.129813644
252	1.129767075
253	1.129709637
254	1.129648107
255	1.129542631
256	1.129474208
257	1.129268528
258	1.129186878
259	1.129046458
260	1.128956647
261	1.128904617
262	1.12882601
263	1.128739083
264	1.128546371
265	1.128462568
266	1.128389723
267	1.128238866
268	1.128117735
269	1.128056189
270	1.127816364
271	1.127738633
272	1.127676716
273	1.127563952
274	1.127409489
275	1.127334715
276	1.127234554
277	1.127179823
278	1.127141591
279	1.127009224
280	1.126916216
281	1.12678707
282	1.126688538
283	1.126641491
284	1.126521323
285	1.126427855
286	1.126325695
287	1.126194891
288	1.126130503
289	1.126069312
290	1.125980942
291	1.125879946
292	1.125811944
293	1.125696395
294	1.125649657
295	1.125596417
296	1.125492263
297	1.125451565
298	1.125286821
299	1.125161031
300	1.125057893
301	1.124967388
302	1.124908606
303	1.124860549
304	1.124790006
305	1.124745405
306	1.124644323
307	1.124604159
308	1.124523881
309	1.124484468
310	1.124410885
311	1.124326608
312	1.124238655
313	1.124099808
314	1.123944473
315	1.123889053
316	1.123821734
317	1.123650749
318	1.123591173
319	1.123518654
320	1.123464783
321	1.123385
322	1.123333448
323	1.123261355
324	1.123228226
325	1.123171672
326	1.123133226
327	1.123034603
328	1.122987487
329	1.122911458
330	1.122808829
331	1.122767014
332	1.122709298
333	1.122672972
334	1.122605768
335	1.122517702
336	1.122446849
337	1.122373477
338	1.122313973
339	1.122198824
340	1.122131667
341	1.121980275
342	1.12190857
343	1.121764116
344	1.121692253
345	1.121649187
346	1.121538912
347	1.121499869
348	1.121356818
349	1.121283507
350	1.121209839
351	1.121146669
352	1.121093344
353	1.121021596
354	1.120961735
355	1.120906675
356	1.120882734
357	1.120820561
358	1.120770586
359	1.120711862
360	1.120649581
361	1.120616765
362	1.120545909
363	1.120496954
364	1.120432337
365	1.120372509
366	1.12023627
367	1.12016785
368	1.120115067
369	1.120053636
370	1.120011421
371	1.119963533
372	1.119927548
373	1.119856008
374	1.119783342
375	1.119728561
376	1.119691361
377	1.11966089
378	1.119629873
379	1.119600177
380	1.119540601
381	1.119513002
382	1.119466796
383	1.119411592
384	1.119368674
385	1.119313941
386	1.11924247
387	1.119203795
388	1.119168151
389	1.119128872
390	1.119064689
391	1.11900358
392	1.11887929
393	1.118835469
394	1.118809133
395	1.11877069
396	1.118656773
397	1.118596684
398	1.118540545
399	1.11846173
400	1.11840091
401	1.118369877
402	1.11830588
403	1.11823242
404	1.118202809
405	1.11814236
406	1.118094617
407	1.118028586
408	1.117988504
409	1.117942244
410	1.117894848
411	1.117849258
412	1.117801573
413	1.11775836
414	1.117712857
415	1.117679657
416	1.117614343
417	1.117558673
418	1.117513007
419	1.117463676
420	1.117428833
421	1.117388422
422	1.117352951
423	1.11730001
424	1.117256759
425	1.117228134
426	1.117170984
427	1.117128489
428	1.117053102
429	1.116969335
430	1.116924739
431	1.116800892
432	1.116735433
433	1.116696525
434	1.116641219
435	1.116607693
436	1.116501589
437	1.116452719
438	1.116420162
439	1.116374936
440	1.116296982
441	1.116271825
442	1.116116382
443	1.11606876
444	1.116026929
445	1.115974384
