iter	Passed	Remaining
0	163	163706
1	204	101804
2	237	78875
3	256	63949
4	273	54350
5	297	49304
6	315	44822
7	341	42372
8	361	39753
9	391	38740
10	414	37253
11	437	36026
12	457	34742
13	474	33452
14	494	32449
15	511	31486
16	527	30520
17	544	29720
18	566	29244
19	588	28836
20	607	28334
21	626	27854
22	649	27584
23	673	27405
24	698	27222
25	728	27273
26	748	26982
27	767	26643
28	786	26328
29	804	26022
30	822	25702
31	841	25455
32	856	25106
33	874	24835
34	892	24613
35	918	24607
36	957	24910
37	987	24987
38	1015	25019
39	1041	24991
40	1059	24788
41	1078	24607
42	1095	24389
43	1113	24187
44	1131	24016
45	1149	23846
46	1169	23716
47	1188	23567
48	1207	23440
49	1235	23469
50	1269	23627
51	1291	23539
52	1317	23540
53	1335	23393
54	1354	23264
55	1375	23189
56	1393	23058
57	1414	22966
58	1431	22826
59	1446	22659
60	1461	22496
61	1475	22330
62	1493	22220
63	1511	22104
64	1530	22022
65	1552	21968
66	1570	21872
67	1588	21773
68	1609	21710
69	1631	21672
70	1649	21582
71	1667	21498
72	1686	21418
73	1708	21382
74	1727	21307
75	1746	21236
76	1765	21162
77	1783	21081
78	1799	20983
79	1816	20893
80	1836	20839
81	1852	20739
82	1866	20618
83	1886	20576
84	1904	20499
85	1927	20484
86	1944	20403
87	1969	20406
88	1987	20340
89	2006	20285
90	2024	20219
91	2041	20151
92	2062	20110
93	2082	20073
94	2101	20017
95	2118	19949
96	2136	19892
97	2154	19832
98	2173	19783
99	2192	19736
100	2209	19669
101	2225	19595
102	2242	19529
103	2259	19469
104	2278	19417
105	2298	19385
106	2316	19331
107	2335	19293
108	2356	19261
109	2375	19221
110	2393	19172
111	2412	19123
112	2429	19071
113	2446	19011
114	2463	18955
115	2478	18890
116	2494	18823
117	2509	18756
118	2526	18708
119	2545	18664
120	2563	18622
121	2582	18587
122	2606	18582
123	2625	18545
124	2642	18496
125	2661	18459
126	2680	18422
127	2696	18371
128	2711	18310
129	2728	18260
130	2744	18203
131	2759	18148
132	2777	18102
133	2795	18067
134	2814	18031
135	2832	17994
136	2850	17954
137	2868	17919
138	2885	17873
139	2903	17835
140	2931	17858
141	2947	17812
142	2965	17769
143	2980	17716
144	2998	17678
145	3013	17626
146	3034	17606
147	3051	17567
148	3074	17560
149	3092	17524
150	3108	17479
151	3126	17443
152	3145	17412
153	3163	17381
154	3180	17341
155	3196	17296
156	3213	17255
157	3254	17341
158	3271	17305
159	3290	17273
160	3308	17242
161	3326	17205
162	3345	17180
163	3364	17148
164	3382	17116
165	3400	17082
166	3418	17050
167	3436	17017
168	3453	16980
169	3467	16931
170	3483	16888
171	3499	16845
172	3515	16806
173	3531	16766
174	3549	16732
175	3563	16684
176	3582	16658
177	3601	16633
178	3619	16601
179	3638	16576
180	3664	16582
181	3689	16580
182	3707	16552
183	3780	16765
184	3840	16918
185	3931	17203
186	4002	17399
187	4081	17628
188	4105	17616
189	4125	17587
190	4146	17563
191	4173	17561
192	4196	17545
193	4214	17508
194	4230	17464
195	4247	17425
196	4267	17395
197	4289	17373
198	4317	17379
199	4340	17363
200	4358	17327
201	4378	17296
202	4397	17264
203	4415	17227
204	4433	17192
205	4452	17161
206	4472	17132
207	4488	17090
208	4506	17057
209	4525	17022
210	4543	16988
211	4561	16954
212	4579	16918
213	4595	16878
214	4610	16833
215	4626	16794
216	4648	16771
217	4663	16727
218	4680	16690
219	4695	16648
220	4713	16612
221	4728	16571
222	4744	16532
223	4761	16495
224	4800	16534
225	4816	16494
226	4835	16466
227	4853	16433
228	4870	16398
229	4886	16360
230	4904	16326
231	4923	16298
232	4941	16265
233	4959	16234
234	4984	16226
235	5008	16214
236	5038	16219
237	5067	16224
238	5084	16191
239	5103	16162
240	5122	16132
241	5141	16104
242	5167	16097
243	5189	16079
244	5208	16051
245	5228	16027
246	5248	16001
247	5268	15974
248	5289	15953
249	5306	15920
250	5324	15889
251	5340	15851
252	5358	15821
253	5375	15786
254	5394	15760
255	5413	15732
256	5431	15703
257	5447	15666
258	5466	15640
259	5485	15613
260	5504	15584
261	5521	15554
262	5539	15524
263	5557	15494
264	5576	15466
265	5594	15438
266	5617	15420
267	5636	15394
268	5653	15362
269	5671	15335
270	5691	15309
271	5708	15278
272	5727	15251
273	5745	15223
274	5763	15194
275	5790	15190
276	5808	15160
277	5830	15142
278	5848	15114
279	5867	15088
280	5887	15064
281	5914	15059
282	5943	15057
283	5966	15042
284	5984	15014
285	6003	14987
286	6021	14959
287	6039	14931
288	6056	14900
289	6074	14871
290	6090	14838
291	6107	14808
292	6124	14778
293	6142	14750
294	6160	14722
295	6178	14695
296	6199	14675
297	6228	14672
298	6262	14682
299	6292	14682
300	6317	14669
301	6336	14644
302	6354	14617
303	6370	14585
304	6386	14551
305	6403	14523
306	6421	14495
307	6439	14467
308	6458	14441
309	6477	14417
310	6496	14392
311	6516	14369
312	6534	14343
313	6554	14320
314	6573	14294
315	6591	14268
316	6606	14234
317	6625	14210
318	6647	14190
319	6665	14163
320	6684	14139
321	6702	14112
322	6733	14112
323	6817	14224
324	6931	14395
325	6983	14437
326	7000	14408
327	7019	14380
328	7048	14375
329	7070	14356
330	7097	14345
331	7135	14356
332	7172	14365
333	7209	14375
334	7232	14356
335	7262	14352
336	7284	14331
337	7306	14311
338	7327	14287
339	7345	14259
340	7362	14227
341	7379	14197
342	7396	14168
343	7413	14137
344	7435	14115
345	7454	14090
346	7472	14062
347	7490	14034
348	7510	14008
349	7529	13984
350	7547	13954
351	7571	13937
352	7596	13922
353	7616	13899
354	7640	13881
355	7659	13856
356	7677	13828
357	7695	13800
358	7715	13776
359	7734	13749
360	7752	13723
361	7770	13695
362	7788	13668
363	7813	13652
364	7837	13635
365	7890	13668
366	7923	13666
367	7954	13661
368	7983	13651
369	8002	13625
370	8021	13599
371	8038	13570
372	8054	13539
373	8071	13510
374	8087	13479
375	8105	13452
376	8123	13424
377	8139	13394
378	8156	13364
379	8173	13334
380	8191	13307
381	8209	13281
382	8231	13261
383	8250	13235
384	8269	13209
385	8291	13189
386	8310	13163
387	8328	13137
388	8348	13112
389	8371	13093
390	8404	13089
391	8437	13087
392	8458	13065
393	8478	13040
394	8498	13016
395	8518	12993
